"Year,""District"",""Code"",""Location"",""Robbery"",""Street_robbery"",""Injury"",""Agg_assault"",""Threat"",""Theft"",""Car"",""From_car"",""Bike"",""Burglary"",""Fire"",""Arson"",""Damage"",""Graffiti"",""Drugs"",""Local"""
"2013,""Friedrichshain-Kreuzberg"",29900,""Bezirk (Fh-Kb), nicht zuzuordnen"",13,9,211,44,32,660,6,8,7,0,3,0,177,133,21,278"
"2013,""Pankow"",30101,""Buch"",12,5,119,20,66,858,21,180,143,29,18,9,210,55,33,308"
"2013,""Pankow"",30202,""Blankenfelde/Niederschönhausen"",16,4,126,28,80,894,35,274,168,62,21,8,180,34,15,386"
"2013,""Pankow"",30203,""Buchholz"",3,2,75,19,36,483,47,74,45,23,2,0,130,23,8,179"
"2013,""Pankow"",30304,""Karow"",4,2,106,19,40,449,8,102,101,36,6,3,88,11,6,206"
"2013,""Pankow"",30307,""Blankenburg/Heinersdorf/Märchenland"",6,1,66,12,38,824,34,217,121,63,10,7,119,7,14,197"
"2013,""Pankow"",30405,""Schönholz/Wilhelmsruh/Rosenthal"",15,8,60,13,38,604,13,131,126,67,6,3,80,16,10,193"
"2013,""Pankow"",30406,""Pankow Zentrum"",37,11,221,47,104,2164,45,254,570,102,14,6,337,71,29,776"
"2013,""Pankow"",30408,""Pankow Süd"",16,9,226,52,87,1211,55,222,392,59,14,5,230,25,27,613"
"2013,""Pankow"",30509,""Weißensee"",28,9,278,56,127,1655,68,225,251,63,25,16,425,102,44,973"
"2013,""Pankow"",30510,""Weißensee Ost"",11,8,146,25,47,626,22,147,61,26,28,22,132,18,32,334"
"2013,""Pankow"",30611,""Prenzlauer Berg Nordwest"",51,31,208,62,59,1718,94,184,407,67,12,6,325,78,69,683"
"2013,""Pankow"",30612,""Prenzlauer Berg Nord"",21,6,202,43,65,1914,88,216,452,52,14,3,254,61,52,595"
"2013,""Pankow"",30613,""Helmholtzplatz"",14,4,148,38,44,1280,57,91,279,90,10,2,238,65,20,590"
"2013,""Pankow"",30614,""Prenzlauer Berg Ost"",43,21,243,59,72,2151,49,317,337,43,17,5,430,167,68,619"
"2013,""Pankow"",30715,""Prenzlauer Berg Südwest"",29,12,325,86,56,2201,87,218,349,118,16,9,403,130,45,907"
